Word;Frequency;Frequency in %
brother;0,0005;0,0487
daughter;0,0005;0,0487
faith;0,0005;0,0487
fortune;0,0005;0,0487
gentleman;0,0005;0,0487
grave;0,0005;0,0487
hast;0,0005;0,0487
honour;0,0005;0,0487
live;0,0005;0,0487
majesty;0,0005;0,0487
marry;0,0005;0,0487
question;0,0005;0,0487
speech;0,0005;0,0487
use;0,0005;0,0487
watch;0,0005;0,0487
youth;0,0005;0,0487
after;0,0005;0,0456
answer;0,0005;0,0456
between;0,0005;0,0456
castle;0,0005;0,0456
drink;0,0005;0,0456
eye;0,0005;0,0456
fortinbras;0,0005;0,0456
lady;0,0005;0,0456
mark;0,0005;0,0456
men;0,0005;0,0456
murther;0,0005;0,0456
said;0,0005;0,0456
something;0,0005;0,0456
stand;0,0005;0,0456
state;0,0005;0,0456
stay;0,0005;0,0456
therefore;0,0005;0,0456
tongue;0,0005;0,0456
yourself;0,0005;0,0456
another;0,0004;0,0426
dost;0,0004;0,0426
ever;0,0004;0,0426
friend;0,0004;0,0426
gentlemen;0,0004;0,0426
gertrude;0,0004;0,0426
goes;0,0004;0,0426
gone;0,0004;0,0426
grief;0,0004;0,0426
heard;0,0004;0,0426
ho;0,0004;0,0426
last;0,0004;0,0426
mind;0,0004;0,0426
reason;0,0004;0,0426
rest;0,0004;0,0426
sings;0,0004;0,0426
spirit;0,0004;0,0426
st;0,0004;0,0426
thine;0,0004;0,0426
while;0,0004;0,0426
air;0,0004;0,0395
duty;0,0004;0,0395
e;0,0004;0,0395
en;0,0004;0,0395
form;0,0004;0,0395
grace;0,0004;0,0395
haste;0,0004;0,0395
none;0,0004;0,0395
norway;0,0004;0,0395
ourselves;0,0004;0,0395
rey;0,0004;0,0395
room;0,0004;0,0395
saw;0,0004;0,0395
sense;0,0004;0,0395
sent;0,0004;0,0395
virtue;0,0004;0,0395
any;0,0004;0,0365
bed;0,0004;0,0365
being;0,0004;0,0365
bring;0,0004;0,0365
drown;0,0004;0,0365
ere;0,0004;0,0365
fall;0,0004;0,0365
fire;0,0004;0,0365
fit;0,0004;0,0365
foul;0,0004;0,0365
further;0,0004;0,0365
has;0,0004;0,0365
help;0,0004;0,0365
kind;0,0004;0,0365
madam;0,0004;0,0365
marcellus;0,0004;0,0365
myself;0,0004;0,0365
name;0,0004;0,0365
oft;0,0004;0,0365
passion;0,0004;0,0365
please;0,0004;0,0365
purpose;0,0004;0,0365
remember;0,0004;0,0365
revenge;0,0004;0,0365
same;0,0004;0,0365
seem;0,0004;0,0365
sleep;0,0004;0,0365
thought;0,0004;0,0365
together;0,0004;0,0365
turn;0,0004;0,0365
twere;0,0004;0,0365
voice;0,0004;0,0365
word;0,0004;0,0365
best;0,0003;0,0335
business;0,0003;0,0335
courtier;0,0003;0,0335
deed;0,0003;0,0335
each;0,0003;0,0335
face;0,0003;0,0335
far;0,0003;0,0335
fellow;0,0003;0,0335
free;0,0003;0,0335
full;0,0003;0,0335
hands;0,0003;0,0335
honest;0,0003;0,0335
mean;0,0003;0,0335
near;0,0003;0,0335
peace;0,0003;0,0335
right;0,0003;0,0335
ring;0,0003;0,0335
second;0,0003;0,0335
swear;0,0003;0,0335
things;0,0003;0,0335
thousand;0,0003;0,0335
uncle;0,0003;0,0335
villain;0,0003;0,0335
way;0,0003;0,0335
wind;0,0003;0,0335
action;0,0003;0,0304
alas;0,0003;0,0304
almost;0,0003;0,0304
alone;0,0003;0,0304
arms;0,0003;0,0304
aught;0,0003;0,0304
awhile;0,0003;0,0304
command;0,0003;0,0304
doubt;0,0003;0,0304
excellent;0,0003;0,0304
fine;0,0003;0,0304
given;0,0003;0,0304
ground;0,0003;0,0304
hell;0,0003;0,0304
husband;0,0003;0,0304
late;0,0003;0,0304
lie;0,0003;0,0304
memory;0,0003;0,0304
neither;0,0003;0,0304
news;0,0003;0,0304
noise;0,0003;0,0304
offence;0,0003;0,0304
phrase;0,0003;0,0304
pyrrhus;0,0003;0,0304
skull;0,0003;0,0304
soft;0,0003;0,0304
takes;0,0003;0,0304
thanks;0,0003;0,0304
three;0,0003;0,0304
walk;0,0003;0,0304
work;0,0003;0,0304
age;0,0003;0,0274
attendants;0,0003;0,0274
back;0,0003;0,0274
behind;0,0003;0,0274
bernardo;0,0003;0,0274
breath;0,0003;0,0274
came;0,0003;0,0274
custom;0,0003;0,0274
draw;0,0003;0,0274
ears;0,0003;0,0274
fell;0,0003;0,0274
gave;0,0003;0,0274
get;0,0003;0,0274
gives;0,0003;0,0274
